symbol,timeframe,fast,slow,stop_loss_pct,trades,net_return,max_drawdown,avg_monthly_return,worst_month,reason,is_accepted
ETHUSDT,15m,11,38,0.01,129,-0.1249182021999453,-0.2012315323529383,-0.0255262563219083,-0.0255262563219083,avg_monthly_return<2.00%,False
ETHUSDT,15m,8,14,0.01,350,-0.2817007616903982,-0.3791913687389158,-0.0336922974700252,-0.0336922974700252,avg_monthly_return<2.00%;max_drawdown>30%,False
ETHUSDT,5m,10,13,0.01,1299,-0.7499910045100822,-0.7522131168580386,-0.3257943503823765,-0.3257943503823765,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
ETHUSDT,15m,5,40,0.005,181,-0.279484573494013,-0.4138890686246061,0.001774844154722,0.001774844154722,avg_monthly_return<2.00%;max_drawdown>30%,False
ETHUSDT,15m,7,36,0.02,169,-0.0353391258655254,-0.1027764467123569,-0.0279979160180473,-0.0279979160180473,avg_monthly_return<2.00%,False
ETHUSDT,5m,5,31,0.008,658,-0.7279939977955847,-0.7673782514942958,-0.1949874038548391,-0.1949874038548391,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
ETHUSDT,5m,11,14,0.02,1253,-0.5009472891673754,-0.5135513310211073,-0.1364731348187696,-0.1364731348187696,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
ETHUSDT,5m,3,13,0.01,1311,-0.789184008870261,-0.789184008870261,-0.3114081737638025,-0.3114081737638025,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
ETHUSDT,15m,7,17,0.005,267,-0.6088768081743855,-0.6439833407160478,-0.0886427955033491,-0.0886427955033491,avg_monthly_return<2.00%;max_drawdown>30%,False
ETHUSDT,5m,12,17,0.005,915,-0.9468303882247888,-0.9525301136723702,-0.4571741848327224,-0.4571741848327224,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,15m,4,15,0.008,328,-0.1853776083183613,-0.4158233987567078,0.0852969888316306,0.0852969888316306,max_drawdown>30%,False
SOLUSDT,5m,11,19,0.01,721,-0.420122714141463,-0.470840083238398,0.0570229693085448,0.0570229693085448,max_drawdown>30%,False
SOLUSDT,5m,12,28,0.008,460,-0.1544361663448095,-0.331513767452495,0.0473020244331137,0.0473020244331137,max_drawdown>30%,False
