symbol,timeframe,fast,slow,stop_loss_pct,trades,net_return,max_drawdown,avg_monthly_return,worst_month
ETHUSDT,5m,5,31,0.008,658,-0.7279939977955847,-0.7673782514942958,-0.19498740385483915,-0.19498740385483915
ETHUSDT,5m,11,14,0.02,1253,-0.5009472891673754,-0.5135513310211073,-0.13647313481876966,-0.13647313481876966
ETHUSDT,5m,3,13,0.01,1311,-0.789184008870261,-0.789184008870261,-0.3114081737638025,-0.3114081737638025
ETHUSDT,15m,7,17,0.005,267,-0.6088768081743855,-0.6439833407160478,-0.08864279550334919,-0.08864279550334919
ETHUSDT,5m,12,17,0.005,915,-0.9468303882247887,-0.9525301136723702,-0.45717418483272243,-0.45717418483272243
SOLUSDT,15m,4,15,0.008,328,-0.18537760831836136,-0.4158233987567078,0.08529698883163062,0.08529698883163062
SOLUSDT,5m,11,19,0.01,721,-0.42012271414146307,-0.470840083238398,0.05702296930854489,0.05702296930854489
SOLUSDT,5m,12,28,0.008,460,-0.1544361663448095,-0.33151376745249506,0.04730202443311371,0.04730202443311371
SOLUSDT,15m,6,28,0.015,192,0.04802759937812762,-0.14413668483714526,0.08612377410332916,0.08612377410332916
SOLUSDT,15m,8,25,0.02,184,0.07855839790546315,-0.08226200634571179,0.035039142546466895,0.035039142546466895
SOLUSDT,5m,6,23,0.005,667,-0.8272029023781898,-0.8391993183642127,-0.16592569516741407,-0.16592569516741407
SOLUSDT,5m,12,32,0.008,420,-0.16834882396467477,-0.37485900340109823,0.08027316175767218,0.08027316175767218
SOLUSDT,5m,3,10,0.005,1564,-0.9877836650763828,-0.9881276799824973,-0.7738896516410081,-0.7738896516410081
SOLUSDT,5m,3,27,0.005,788,-0.8082500910101053,-0.8243267485112645,-0.1364499972056341,-0.1364499972056341
SOLUSDT,5m,7,31,0.015,486,-0.053493400795183166,-0.21221594446561842,0.03124442455855103,0.03124442455855103
SOLUSDT,5m,5,38,0.008,466,-0.024865796318007005,-0.3747722570139348,0.1679553745580662,0.1679553745580662
SOLUSDT,15m,9,18,0.005,252,-0.12899727119934212,-0.4338807878709756,0.2457982417496387,0.2457982417496387
SOLUSDT,1m,18,45,0.015,1574,-0.6810116272870891,-0.6837414908976004,-0.303964211938095,-0.303964211938095
SOLUSDT,5m,3,12,0.005,1396,-0.9764362719293825,-0.9771905413325139,-0.7161025264217016,-0.7161025264217016
SOLUSDT,5m,8,36,0.005,406,-0.7028033954838486,-0.7187775516319552,-0.27980244875689597,-0.27980244875689597
SOLUSDT,5m,6,37,0.008,446,-0.08340682270185351,-0.3622892578036673,0.1069424450720955,0.1069424450720955
SOLUSDT,5m,7,24,0.008,619,-0.44889570379368904,-0.47875186035510997,-0.06425949801613962,-0.06425949801613962
SOLUSDT,15m,4,35,0.02,201,0.0827237532895253,-0.08915100385341856,0.06623387510089929,0.06623387510089929
SOLUSDT,1m,5,15,0.008,5022,-0.9994918750852945,-0.9994935937174095,-0.8804892341797912,-0.8804892341797912
SOLUSDT,1m,20,55,0.008,1310,-0.8189258253275735,-0.822189821757592,-0.4694966256472187,-0.4694966256472187
