key,symbol,timeframe,fast,slow,stop_loss_pct,weight,net_return,max_drawdown
BTCUSDT|f5|s35|sl0.0100|15m,BTCUSDT,15m,5,35,0.01,0.30000000000000004,0.3208710445140184,-0.18303855576974237
SOLUSDT|f8|s25|sl0.0200|15m,SOLUSDT,15m,8,25,0.02,0.27686556462491585,0.07855839790546315,-0.08226200634571179
SOLUSDT|f4|s35|sl0.0200|15m,SOLUSDT,15m,4,35,0.02,0.2516667271547875,0.0827237532895253,-0.08915100385341856
SOLUSDT|f7|s31|sl0.0150|5m,SOLUSDT,5m,7,31,0.015,0.17146770822029664,-0.053493400795183166,-0.21221594446561842
