strategy_key,symbol,timeframe,n_trades,win_rate,avg_hold_min,gross_pnl_sum,fees_sum,funding_sum,net_pnl_sum,avg_net_per_trade,avg_R,median_R
SOLUSDT|f4|s35|sl0.0200|15m,SOLUSDT,15m,43,0.2558139534883721,149.30232558139534,757.8728625872675,177.47325452013783,0.2310841370602375,580.63069220419,13.503039353585814,0.13434901856946727,-0.28835579773257086
BTCUSDT|f5|s35|sl0.0100|15m,BTCUSDT,15m,40,0.275,107.625,810.2204692730176,294.56224052040807,-0.0697213267428816,515.5885074258667,12.889712685646668,0.13755436200193574,-0.4313429413957437
SOLUSDT|f7|s31|sl0.0150|5m,SOLUSDT,5m,108,0.3611111111111111,44.9537037037037,904.29240473276,586.4976365141007,0.1999949061900658,317.9947631248494,2.9443959548597167,0.02688881788515305,-0.20863868263014032
__PORTFOLIO__,ALL,-,191,0.3193717277486911,81.57068062827226,2472.3857365930444,1058.5331315546466,0.36135771650742166,1414.213962754906,7.40426158510422,0.07425745869194268,-0.2675139441331996
