symbol,timeframe,n_trades,net_pnl,win_rate,avg_R
BTCUSDT,15m,40,515.5885074258667,0.275,0.13755436200193574
SOLUSDT,15m,43,580.63069220419,0.2558139534883721,0.13434901856946727
SOLUSDT,5m,108,317.9947631248494,0.3611111111111111,0.02688881788515305
